"time","BANE.CLOSE","SIBN.CLOSE","LKOH.CLOSE","ROSN.CLOSE","SNGS.CLOSE","TATN.CLOSE","IMOEX.CLOSE","MOEXOG.CLOSE"
2018-02-27,2240,286.9,3838.5,337.5,29.13,606.2,2341.89,5813.04
2018-02-28,2245,283.9,3776.5,330.5,28.715,594,2296.8,5698.54
2018-03-01,2250,294.8,3754,323.5,28.52,594.8,2297.9,5683.93
2018-03-02,2243,291.45,3749.5,319.5,28.22,595,2288.84,5658.19
2018-03-05,2246,291.85,3730,320.5,28.645,600.4,2309.53,5694.23
2018-03-06,2252,294.65,3744,318.7,28.625,604,2303.32,5691.98
2018-03-07,2235,291.85,3721,315,28.3,595.25,2291.23,5626.92
2018-03-09,2282,292.75,3789,313.25,28.63,604,2311.69,5680.67
2018-03-12,2345,290.05,3770,314.7,29.15,606.8,2318.01,5716.02
2018-03-13,2405,288,3773,312,29.365,606.5,2319.38,5710.06
2018-03-14,2305,286.7,3742,310.35,29.17,602.95,2275.24,5644.43
2018-03-15,2333,284.5,3800,314.2,29.18,606.7,2272.49,5685.83
2018-03-16,2308,289.05,3874.5,319.3,29.41,613.25,2294.6,5766.17
2018-03-19,2321,290.35,3815,316,29.055,611,2281.72,5740.99
2018-03-20,2272,292.45,3860,317.55,29.175,620,2291.18,5778.09
2018-03-21,2295,292.9,3874,317.5,29.13,618.8,2309.36,5789.62
2018-03-22,2313,290,3857,316.15,28.805,616.75,2285.76,5733.51
2018-03-23,2263,288,3874.5,314.5,28.885,618.35,2285.53,5751.55
2018-03-26,2260,288.45,3800,308.05,28.1,603.5,2240.85,5641.3
2018-03-27,2270,296.95,3878,309.65,28.3,605.5,2262.5,5698.8
2018-03-28,2171,295.25,3927,308.8,28.45,604,2249.23,5690.37
2018-03-29,2220,295.1,3991.5,316.35,28.665,615,2274.62,5768.85
2018-03-30,2219,295.85,3961,313.9,28.37,611.6,2270.98,5737.52
2018-04-02,2223,299.15,3955.5,309.05,28.5,598.3,2256.64,5695.85
2018-04-03,2200,298.9,3951,313.25,28.33,604.95,2263.85,5720.02
2018-04-04,2205,303.35,3939,319.6,28.51,599.75,2265.6,5737.89
2018-04-05,2227,314,3990,322.65,28.94,614.55,2296.25,5811.73
2018-04-06,2251,312.05,3939,319.6,28.94,610,2281.23,5788.26
2018-04-09,2197,297.4,3620,299.5,28.16,596.7,2090.88,5484.68
2018-04-10,2180,298.65,3908.5,307.6,29.475,644.5,2173.76,5750.81
